Running 4 ppn MPI code for N_MAX=8000;;;;minutos;1,66667E-05
612035,28;751823,824;1695699,097;;10,20058802;
1707921,41;1993818,563;4837285,907;;28,46535689;
2627167,805;2997725,819;7510352,185;;43,78613017;
3424744,653;3916534,897;9781819,659;;57,07907766;
4196718,244;4827746,291;11958508,84;;69,94530421;
4976602,809;5776005,729;14129787,41;;82,94338032;
5753553,666;6666258,919;16347331,43;;95,89256129;
6487251,507;7518501,247;18429881,32;;108,1208587;
7271588,431;8413687,986;20672040,55;;121,1931408;
7997510,269;9297992,536;22691423,58;;133,2918381;
8814981,792;10290270,94;24969031,47;;146,9163635;
9561973,339;11183219,08;27064093,36;;159,3662226;
10316673,53;12063632,2;29202435,67;;171,9445592;
11063911,54;12976309,29;31278713,49;;184,398526;
11802129,98;13773197,42;33434698,87;;196,7021668;
12527803,16;14595425,57;35515164,19;;208,7967197;
;;;;;
Running 8 ppn MPI code for N_MAX=8000;;;;;
441756,937;756271,329;2775942,226;;7,362615631;
1261071,554;1779893,94;8306845,882;;21,01785928;
2011546,449;2657397,89;13433115,15;;33,52577422;
2639024,422;3381153,331;17729180,97;;43,98374045;
3209301,94;4193558,329;21479009,14;;53,48836577;
3790104,302;5018938,628;25300040,96;;63,16840516;
4397649,284;5769742,452;29409560,11;;73,29415488;
4977725,126;6481078,122;33338859,89;;82,9620856;
5567358,835;7301519,751;37235480,44;;92,7893141;
6158988,669;8120882,324;41149146,23;;102,6498114;
6754787,017;8900846,62;45135576,59;;112,5797838;
7328369,124;9787444,37;48837617,89;;122,1394856;
7956447,317;10459729,31;53190009,88;;132,6074555;
8525506,041;11308005,03;56894177,7;;142,0917676;
9095369,955;12126391,24;60634692,56;;151,5894996;
9705220,904;12908004,3;64731865,46;;161,7536821;
;;;;;
Running 12 ppn MPI code for N_MAX=8000;;;;;
296463,642;1166145,561;2388735,582;;4,94106071;
758008,913;2803644,706;6289695,546;;12,63348191;
1288558,303;4370537,456;11089410;;21,47597176;
1680984,875;5448794,037;14720201,35;;28,01641464;
2052748,123;6727394,609;17902810,34;;34,21246879;
2431493,025;8130495,503;21044604,99;;40,52488383;
2804098,743;9523569,601;24122806,03;;46,73497914;
3198759,203;11007330,26;27374935,74;;53,31265349;
3553436,385;12212888,43;30425549,29;;59,22393987;
3969304,257;13800363,94;33828401,28;;66,15507108;
4274092,327;14864282,1;36421993,59;;71,23487226;
4653134,066;16368607,92;39466077,21;;77,55223459;
5055310,29;17980095,8;42680837,48;;84,25517167;
5393963,809;19264490,98;45460106,12;;89,899397;
5742380,036;20324947,8;48580795,23;;95,70633412;
6177915,691;22118891,23;52013300,44;;102,9652617;
;;;;;
Running 16 ppn MPI code for N_MAX=8000;;;;;
226319,024;847288,555;2769537,316;;;
551957,532;2991398,078;5835184,603;;;
1010513,902;5594130,87;10568810,73;;;
1316612,155;6921337,29;14139025,4;;;
1602644,063;8255341,036;17381204,68;;;
1888537,349;9849826,816;20360725,77;;;
2178628,659;11406262,86;23445324,25;;;
2464301,143;12837032,83;26584918,05;;;
2738246,634;14136496,37;29668488,03;;;
3034337,271;15720852,31;32820953,56;;;
3274837,965;16620769,08;35769288,33;;;
3556150,675;18071575,37;38819233,14;;;
3828438,697;19245499,29;42001361,28;;;
4101044,968;20522050,28;45086302,23;;;
4371013,184;21792361,56;48135164,67;;;
4709394,679;23862394,39;51478010,25;;;
;;;;;
Running 20 ppn MPI code for N_MAX=8000;;;;;
372784,853;3350396,732;4091196,175;;;
906161;6487483,916;11615572,57;;;
1151786,485;8169779,137;14854083,68;;;
1380924,828;9928880,914;17680403,69;;;
1781028,542;13102218,85;22507884,9;;;
2141510,812;16147013,88;26671681,97;;;
2656320,457;21626896,69;31481895,59;;;
2659101,654;21726967,44;31445206,06;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
0;0;0;;;
